@target G0.S0
@type xydy
1.9 -362.93200 2.28981
2.0 -366.78885 2.24437
&
@target G3.S1
@type xydy
-2.0 -368.65370 2.12503
-1.9 -381.34204 2.16795
-1.8 -357.65225 2.23438
-1.7 -360.92552 2.11328
-1.6 -375.97195 2.01399
-1.5 -377.32539 1.98344
-1.4 -390.70291 2.18414
-1.3 -391.89023 2.46846
-1.2 -396.65093 2.21173
-1.1 -402.70670 2.02312
-1.0 -407.75571 2.05703
-0.9 -407.23699 2.18149
-0.8 -414.13661 2.22038
-0.7 -408.54945 2.15190
-0.6 -392.20363 2.28174
-0.5 -389.73053 2.26536
-0.4 -402.34003 2.21371
-0.3 -412.29555 2.20248
-0.2 -413.70670 2.10825
-0.1 -410.30730 2.32257
0.0 -411.46275 2.31740
0.1 -412.01992 2.07694
0.2 -408.31031 2.19347
0.3 -399.64359 2.30626
0.4 -401.11742 2.06729
0.5 -400.86575 1.88068
0.6 -399.32793 2.26633
0.7 -397.44424 2.49725
0.8 -403.65409 2.24998
0.9 -407.57243 2.23196
1.0 -397.16173 1.96207
1.1 -400.19527 2.13019
1.2 -382.84941 2.16159
1.3 -385.85244 2.13358
1.4 -398.31954 2.03589
1.5 -397.80343 2.22648
1.6 -376.30615 1.96508
1.7 -394.82216 2.21902
1.8 -362.10434 2.19781
1.9 -384.84541 2.09908
2.0 -385.77192 2.41093
&
@target G4.S1
@type xydy
-2.0 -357.10411 2.08095
-1.9 -378.56348 2.25488
-1.8 -361.23617 2.04663
-1.7 -372.47965 1.93994
-1.6 -383.95280 2.05926
-1.5 -381.82343 2.05485
-1.4 -370.51986 2.32541
-1.3 -386.23515 2.11929
-1.2 -406.79514 2.13996
-1.1 -411.17129 2.30509
-1.0 -394.51165 2.10649
-0.9 -402.23357 2.22688
-0.8 -385.40498 2.35253
-0.7 -396.05240 2.25495
-0.6 -402.93140 2.03519
-0.5 -408.14810 2.12414
-0.4 -406.02497 1.99758
-0.3 -414.97579 1.85564
-0.2 -410.16652 2.25654
-0.1 -409.25342 2.04625
0.0 -413.70753 2.02588
0.1 -418.39637 2.04209
0.2 -407.88938 2.18438
0.3 -401.19619 2.15903
0.4 -409.58848 2.10059
0.5 -402.70551 2.29793
0.6 -405.75940 2.28142
0.7 -390.80179 2.10049
0.8 -367.56769 2.24343
0.9 -374.77836 2.02187
1.0 -360.30749 2.32546
1.1 -364.87459 2.10152
1.2 -370.80533 2.33527
1.3 -356.94887 2.16548
1.4 -343.84601 2.15309
1.5 -346.31521 2.09894
1.6 -352.95317 2.17426
1.7 -349.92943 2.12783
1.8 -330.22875 2.28641
1.9 -320.48745 2.37249
2.0 -326.64417 2.16597
&
@target G5.S1
@type xydy
-2.0 -366.45377 1.95285
-1.9 -376.27002 2.23843
-1.8 -394.25542 2.29137
-1.7 -393.88566 2.18058
-1.6 -404.30701 2.23871
-1.5 -404.19282 2.33675
-1.4 -404.12872 2.18445
-1.3 -406.87111 2.04959
-1.2 -411.09199 2.04401
-1.1 -404.72474 2.30539
-1.0 -407.24643 2.06419
-0.9 -398.69892 1.99305
-0.8 -411.34353 2.01005
-0.7 -417.12078 1.99238
-0.6 -411.18922 2.16691
-0.5 -416.89015 1.93004
-0.4 -407.85040 1.97980
-0.3 -420.21068 2.06380
-0.2 -406.75243 2.24220
-0.1 -417.94736 2.29633
0.0 -420.13945 2.17230
0.1 -404.07490 2.13635
0.2 -405.92650 2.01201
