@target G0.S0
-1.4 -534.34339
-1.3 -536.93702
-1.2 -541.35806
-1.1 -534.95656
-1.0 -537.70529
-0.9 -529.19192
-0.8 -541.71491
-0.7 -547.46608
-0.6 -541.10821
-0.5 -547.39588
-0.4 -538.66697
-0.3 -550.53761
-0.2 -537.08984
-0.1 -548.21318
0.0 -550.51104
0.1 -534.74826
0.2 -536.45836
0.3 -530.63715
0.4 -522.07834
0.5 -527.68439
0.6 -527.99715
0.7 -537.67905
0.8 -541.30352
0.9 -511.22714
1.0 -514.70752
1.1 -515.50139
1.2 -504.66590
1.3 -496.82131
1.4 -517.55474
1.5 -511.57105
1.6 -525.96727
1.7 -520.58291
1.8 -490.61670
1.9 -523.35344
2.0 -509.43156
&
@target G0.S2
@type xy
-2.0 -496.55855
-1.9 -463.28940
-1.8 -508.05366
-1.7 -522.40239
-1.6 -521.27605
-1.5 -503.93799
-1.4 -527.79598
-1.3 -509.20836
-1.2 -528.64571
-1.1 -538.25491
-1.0 -541.47140
-0.9 -524.15906
-0.8 -544.46534
-0.7 -548.42833
-0.6 -549.42964
-0.5 -549.71745
-0.4 -551.57195
-0.3 -551.72398
-0.2 -547.97062
-0.1 -539.62216
0.0 -536.10280
0.1 -545.86775
0.2 -536.01868
0.3 -563.13322
0.4 -546.48375
0.5 -525.91825
0.6 -542.37640
0.7 -553.84472
0.8 -517.16720
0.9 -517.85830
1.0 -515.41310
1.1 -483.54300
1.2 -501.26331
1.3 -504.77725
1.4 -493.97675
1.5 -495.05554
1.6 -488.03289
1.7 -480.83039
1.8 -508.26272
1.9 -513.30698
2.0 -523.60186
&
@target G1.S2
@type xy
-2.0 -520.09463
-1.9 -512.63413
-1.8 -532.58124
-1.7 -538.13520
-1.6 -521.26293
-1.5 -516.21679
-1.4 -511.10781
-1.3 -512.87686
-1.2 -538.17219
-1.1 -528.24602
-1.0 -519.73327
-0.9 -538.86415
-0.8 -553.63104
-0.7 -540.25142
-0.6 -539.17006
-0.5 -538.87187
-0.4 -540.54034
-0.3 -551.73920
-0.2 -543.93153
-0.1 -547.93456
0.0 -538.21877
0.1 -547.62729
0.2 -536.58580
0.3 -545.58527
0.4 -537.04151
0.5 -527.79216
0.6 -529.54207
0.7 -531.05725
0.8 -526.68917
0.9 -498.93645
1.0 -506.61268
1.1 -495.72699
1.2 -514.90009
1.3 -488.34386
1.4 -512.60107
1.5 -508.80471
1.6 -495.07088
1.7 -503.43198
1.8 -493.31939
1.9 -489.98480
2.0 -490.17427
&
@target G2.S2
@type xy
-2.0 -497.78741
-1.9 -485.65100
-1.8 -509.64926
-1.7 -501.17188
-1.6 -495.67759
-1.5 -512.65360
-1.4 -518.41295
-1.3 -522.67355
-1.2 -516.78110
-1.1 -513.32022
-1.0 -518.85537
-0.9 -530.62287
-0.8 -527.14966
-0.7 -523.08111
-0.6 -522.14142
-0.5 -524.82992
-0.4 -528.92085
-0.3 -542.70381
-0.2 -534.63666
-0.1 -523.41227
0.0 -543.27617
0.1 -549.15368
0.2 -539.29437
0.3 -537.19121
0.4 -533.80313
0.5 -548.49839
0.6 -533.96472
0.7 -542.94956
0.8 -548.54967
0.9 -543.08294
1.0 -514.62255
1.1 -525.60385
1.2 -530.64669
1.3 -518.26281
1.4 -539.37099
1.5 -503.37474
1.6 -494.26280
1.7 -514.31084
1.8 -514.98490
1.9 -493.21325
2.0 -484.52158
&
@target G3.S2
@type xy
-2.0 -497.41107
-1.9 -507.78974
-1.8 -499.50242
-1.7 -501.46699
-1.6 -504.49003
-1.5 -526.44256
-1.4 -519.71485
-1.3 -510.27846
-1.2 -524.84611
-1.1 -522.48982
-1.0 -517.72163
-0.9 -526.42018
-0.8 -529.92360
-0.7 -530.07770
-0.6 -540.73138
-0.5 -527.88878
-0.4 -532.43176
-0.3 -534.01628
-0.2 -537.02533
-0.1 -550.57226
0.0 -548.08252
0.1 -541.05281
0.2 -551.50161
0.3 -540.25473
0.4 -555.70979
0.5 -535.30972
0.6 -550.41212
0.7 -532.52480
0.8 -535.39457
0.9 -522.79515
1.0 -522.12924
1.1 -528.28604
1.2 -536.33272
1.3 -505.51561
1.4 -497.31444
1.5 -495.63661
1.6 -524.76521
1.7 -517.94261
1.8 -494.00273
1.9 -511.96578
2.0 -518.33374
&
@target G4.S2
@type xy
-2.0 -494.29996
-1.9 -490.30298
-1.8 -504.82701
-1.7 -483.79641
-1.6 -510.03041
-1.5 -499.59897
-1.4 -494.35581
-1.3 -479.34058
-1.2 -514.38497
-1.1 -508.05314
-1.0 -517.10624
-0.9 -507.55557
-0.8 -514.09570
-0.7 -522.46804
-0.6 -531.57361
-0.5 -540.32292
-0.4 -528.56111
-0.3 -543.07274
-0.2 -537.38739
-0.1 -536.87240
0.0 -545.69522
0.1 -535.63734
0.2 -528.05481
0.3 -516.72879
0.4 -535.30700
0.5 -534.95367
0.6 -521.99491
0.7 -517.86899
0.8 -514.58919
0.9 -512.27409
1.0 -494.15738
1.1 -496.01365
1.2 -489.83700
1.3 -467.21025
1.4 -446.87435
1.5 -467.00959
1.6 -469.39427
1.7 -486.10448
1.8 -450.85149
1.9 -475.72026
2.0 -482.12627
&
@target G5.S2
@type xy
-2.0 -504.38610
-1.9 -524.42685
-1.8 -535.01606
-1.7 -535.06733
-1.6 -519.26775
-1.5 -508.49369
-1.4 -531.58625
-1.3 -524.97513
-1.2 -533.03122
-1.1 -538.54327
-1.0 -545.10620
-0.9 -550.32385
-0.8 -541.13771
-0.7 -539.47270
-0.6 -525.27526
-0.5 -527.44929
-0.4 -542.12671
-0.3 -544.03217
-0.2 -543.08606
-0.1 -541.47288
0.0 -554.19618
0.1 -549.91049
0.2 -531.68878
0.3 -540.64244
0.4 -526.75819
0.5 -524.82114
0.6 -524.34567
0.7 -532.66178
0.8 -526.66663
0.9 -516.04407
1.0 -507.55592
1.1 -519.77986
1.2 -507.91411
1.3 -503.77533
1.4 -512.04711
1.5 -511.09279
1.6 -499.80268
1.7 -513.37144
1.8 -537.13119
1.9 -526.46124
2.0 -522.41161
&
