@target G0.S0
-1.5 0.08231
-1.4 0.11709
-1.3 0.04431
-1.2 0.07521
-1.1 0.07399
-1.0 0.01950
-0.9 0.04222
-0.8 0.00010
-0.7 0.01988
-0.6 0.02223
-0.5 0.03836
-0.4 0.00601
-0.3 0.00517
-0.2 0.00391
-0.1 0.00451
0.0 0.00220
0.1 0.00089
0.2 0.00753
0.3 0.03012
0.4 0.03168
0.5 0.01268
0.6 0.04200
0.7 0.10665
0.8 0.02269
0.9 0.07793
1.0 0.07125
1.1 0.06472
1.2 0.25933
1.3 0.12707
1.4 0.03149
1.5 0.02312
1.6 0.08841
1.7 0.01492
1.8 0.05093
1.9 0.02563
2.0 0.12158
&
@target G0.S2
@type xy
-2.0 0.00543
-1.9 0.02172
-1.8 0.01643
-1.7 0.03274
-1.6 0.03275
-1.5 0.03979
-1.4 0.01568
-1.3 0.00675
-1.2 0.03059
-1.1 0.08274
-1.0 0.03267
-0.9 0.06411
-0.8 0.01323
-0.7 0.02654
-0.6 0.00216
-0.5 0.00424
-0.4 0.00005
-0.3 0.00044
-0.2 0.00054
-0.1 0.00230
0.0 0.00852
0.1 0.00568
0.2 0.00236
0.3 0.03823
0.4 0.05351
0.5 0.05576
0.6 0.07302
0.7 0.09346
0.8 0.20192
0.9 0.20662
1.0 0.16716
1.1 0.12139
1.2 0.15571
1.3 0.05744
1.4 0.12444
1.5 0.06667
1.6 0.04651
1.7 0.10665
1.8 0.01657
1.9 0.04709
2.0 0.06507
&
@target G1.S2
@type xy
-2.0 0.00454
-1.9 0.05216
-1.8 0.01575
-1.7 0.02620
-1.6 0.03197
-1.5 0.04973
-1.4 0.02405
-1.3 0.04320
-1.2 0.05949
-1.1 0.02722
-1.0 0.01227
-0.9 0.00458
-0.8 0.00464
-0.7 0.02815
-0.6 0.01053
-0.5 0.00721
-0.4 0.00327
-0.3 0.00071
-0.2 0.00011
-0.1 0.00095
0.0 0.00054
0.1 0.00004
0.2 0.00018
0.3 0.00687
0.4 0.00662
0.5 0.00594
0.6 0.00009
0.7 0.00553
0.8 0.00570
0.9 0.00782
1.0 0.02503
1.1 0.07240
1.2 0.01794
1.3 0.01911
1.4 0.02333
1.5 0.03652
1.6 0.06944
1.7 0.06843
1.8 0.08213
1.9 0.04185
2.0 0.08508
&
@target G2.S2
@type xy
-2.0 0.00070
-1.9 0.10317
-1.8 0.07297
-1.7 0.12018
-1.6 0.01357
-1.5 0.06262
-1.4 0.03659
-1.3 0.02842
-1.2 0.06738
-1.1 0.03911
-1.0 0.05282
-0.9 0.03104
-0.8 0.01679
-0.7 0.02788
-0.6 0.01617
-0.5 0.04766
-0.4 0.01650
-0.3 0.00877
-0.2 0.00257
-0.1 0.00022
0.0 0.00629
0.1 0.00149
0.2 0.00557
0.3 0.00233
0.4 0.00584
0.5 0.00550
0.6 0.02548
0.7 0.03545
0.8 0.00670
0.9 0.03264
1.0 0.06890
1.1 0.10712
1.2 0.08795
1.3 0.10140
1.4 0.02379
1.5 0.03812
1.6 0.03540
1.7 0.15977
1.8 0.04578
1.9 0.09425
2.0 0.12806
&
@target G3.S2
@type xy
-2.0 0.01554
-1.9 0.01418
-1.8 0.03081
-1.7 0.05467
-1.6 0.04922
-1.5 0.09547
-1.4 0.10628
-1.3 0.03653
-1.2 0.05166
-1.1 0.05100
-1.0 0.05954
-0.9 0.04063
-0.8 0.01520
-0.7 0.04186
-0.6 0.00486
-0.5 0.01397
-0.4 0.00925
-0.3 0.00021
-0.2 0.00083
-0.1 0.00289
