@target G0.S0
@type xydy
-0.7 0.06186 0.06306
-0.6 0.07595 0.06823
-0.5 0.10092 0.08089
-0.4 0.11000 0.07358
-0.3 0.03873 0.02732
-0.2 0.09461 0.09511
-0.1 0.03931 0.03064
0.0 0.02427 0.01360
0.1 0.04781 0.03786
0.2 0.07373 0.04416
0.3 0.08437 0.07955
0.4 0.13253 0.12402
0.5 0.10244 0.09800
0.6 0.11977 0.14534
0.7 0.13711 0.10731
0.8 0.09203 0.06417
0.9 0.16925 0.16507
1.0 0.19281 0.16692
1.1 0.20581 0.19558
1.2 0.32532 0.21035
1.3 0.20875 0.16127
1.4 0.12068 0.09613
1.5 0.13063 0.08171
1.6 0.19434 0.17938
1.7 0.09377 0.06128
1.8 0.19738 0.18167
1.9 0.17383 0.06918
2.0 0.17377 0.06903
&
@target G0.S2
@type xydy
-2.0 0.18168 0.08398
-1.9 0.12596 0.06587
-1.8 0.14622 0.14404
-1.7 0.22487 0.13075
-1.6 0.16798 0.10477
-1.5 0.14837 0.14230
-1.4 0.08498 0.06171
-1.3 0.06240 0.05581
-1.2 0.27158 0.21199
-1.1 0.14551 0.11299
-1.0 0.09289 0.06580
-0.9 0.12313 0.05970
-0.8 0.09409 0.07491
-0.7 0.11030 0.06688
-0.6 0.12046 0.09412
-0.5 0.03813 0.02732
-0.4 0.03433 0.02222
-0.3 0.08401 0.05253
-0.2 0.05876 0.03461
-0.1 0.05376 0.05041
0.0 0.04300 0.03615
0.1 0.07766 0.07058
0.2 0.06703 0.03984
0.3 0.07544 0.05844
0.4 0.11434 0.09567
0.5 0.19113 0.20111
0.6 0.10695 0.09074
0.7 0.17756 0.14553
0.8 0.22221 0.12485
0.9 0.30636 0.15816
1.0 0.20599 0.11008
1.1 0.21503 0.16474
1.2 0.23901 0.18781
1.3 0.14402 0.15352
1.4 0.21873 0.17828
1.5 0.20654 0.15529
1.6 0.21209 0.12851
1.7 0.21292 0.12510
1.8 0.20025 0.12396
1.9 0.14431 0.09272
2.0 0.17774 0.12411
&
@target G1.S2
@type xydy
-2.0 0.08971 0.06322
-1.9 0.16461 0.11869
-1.8 0.08484 0.06303
-1.7 0.15836 0.10910
-1.6 0.09559 0.07915
-1.5 0.11809 0.09513
-1.4 0.14899 0.10771
-1.3 0.13396 0.12615
-1.2 0.09998 0.05480
-1.1 0.10185 0.10238
-1.0 0.08733 0.06574
-0.9 0.06763 0.04998
-0.8 0.06913 0.06238
-0.7 0.09174 0.06971
-0.6 0.06232 0.05364
-0.5 0.06258 0.04687
-0.4 0.06354 0.05367
-0.3 0.07319 0.04582
-0.2 0.05991 0.03687
-0.1 0.11380 0.09020
0.0 0.06757 0.06041
0.1 0.07571 0.06760
0.2 0.02004 0.01043
0.3 0.02815 0.02112
0.4 0.09228 0.07858
0.5 0.08764 0.06566
0.6 0.04609 0.03641
0.7 0.04066 0.03542
0.8 0.06253 0.04858
0.9 0.06247 0.04891
1.0 0.06285 0.06008
1.1 0.13712 0.12668
1.2 0.06634 0.05574
1.3 0.15412 0.12004
1.4 0.11510 0.08719
1.5 0.12686 0.10056
1.6 0.26308 0.16677
1.7 0.14183 0.11898
1.8 0.17765 0.14624
1.9 0.14706 0.12527
2.0 0.22812 0.11909
&
@target G2.S2
@type xydy
-2.0 0.22665 0.16509
-1.9 0.14476 0.12584
-1.8 0.17915 0.12659
-1.7 0.17345 0.12035
-1.6 0.05287 0.04766
-1.5 0.13966 0.10436
-1.4 0.17083 0.14624
-1.3 0.06188 0.05370
-1.2 0.15521 0.11894
-1.1 0.08589 0.07026
-1.0 0.09764 0.08459
-0.9 0.09593 0.07750
-0.8 0.12070 0.10503
-0.7 0.08414 0.08198
-0.6 0.11068 0.09454
-0.5 0.10459 0.08377
-0.4 0.07385 0.07968
-0.3 0.07539 0.06000
-0.2 0.03676 0.02596
-0.1 0.02437 0.02161
